authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T13:33:17.393Z,The NHibernate for the NServicebus,NServiceBus.NHibernate-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2171
Jake Ginnivan,2012-04-12T08:53:14.377Z,"Helps you get started with Phoenix with a new project. This package will create a default controller, shell, and a view to save you from doing it!",Phoenix.WindowsPhoneQuickstart,False,2012-11-04T01:19:05.613-07:00,True,,"wpf,wp7,mvvm,mvc,quickstart,mvvmc",1357,False,0.4.0.154
"XAct Software Solutions,Inc.",2012-04-11T09:29:22.483Z,An XActLib Assembly: a Library to access resources in a Db.,XAct.Resources.Db,False,1899-12-31T16:00:00-08:00,False,,"XAct,XActLib",-1,False,0.0.304
Daniel Kolman,2012-04-12T15:01:16.937Z,Library of static analysis assertions for .NET unit tests,StructureAssertions,False,2012-04-12T08:11:04.57-07:00,True,,"Dependency,Test",2130,False,0.2.0.2
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T13:32:27.68Z,The tools to configure the nservicebus,NServiceBus.Tools-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2171
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T17:41:48.617Z,"The hosting template for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Host-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2172
"XAct Software Solutions,Inc.",2012-04-11T09:27:12.473Z,An XActLib Assembly: a library of code to perform maintenance on servers.,XAct.Environment.IIS,False,2014-01-22T21:50:08.953-08:00,True,,"XAct,Library,(XActLib)",61337,False,0.0.304
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T05:41:57.19Z,"The hosting template for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Host32-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2170
Matthew Schrager,2012-04-12T14:28:17.413Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.4
danielwertheim,2012-04-11T21:54:56.323Z,"SisoDb is a schemaless document-oriented provider for SQL-Server. Using JSON and key-value storage, it lets you persist object graphs without specifying any mappings or extending any base classes interfaces etc. It lets you perform queries against SQL-server, using lambda expressions. It syncs schemachanges on the fly and can assist you to handle more complex model updates. Basically, it is a simple data access tool.
			This package is for SQL-Server CE4.",SisoDb.SqlCe4,False,2013-03-12T13:05:47.093-07:00,True,SisoDb is the document-oriented provider over SQL-Server. This package is for SQL-Server CE4.,"sisodb,document-database,db,document,structure,key-value,json,sql,sqlserver,sql-server,sqlce,sqlce4,nosql",16085,False,11.3.1
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T05:42:33.847Z,The Autofac Container for the nservicebus,NServiceBus.Autofac-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2170
Philip Proplesch,2012-04-12T22:41:18.267Z,Allows you to your bundle configurations in the web.config file and handle remote files.,Web.Optimization,True,2013-11-14T13:24:24.74-08:00,True,,"bundle,optimization,minify,config,configuration,less,coffeescript",89426,False,0.0.2-beta
Amazon Web Services,2012-04-12T05:04:00.123Z,"Build applications that tap into the cost-effective, scalable, and reliable AWS cloud. Get started in minutes using AWS infrastructure services, including Amazon Simple Storage Service (Amazon S3), Amazon Elastic Compute Cloud (Amazon EC2), and Amazon SimpleDB.",AWSSDK,False,2016-10-11T21:21:33.973+00:00,True,,"AWS,Amazon,cloud",2458575,False,1.4.7
Selenium Committers,2012-04-11T19:49:01.06Z,"Selenium is a set of different software tools each with a different approach to supporting browser automation. These tools are highly flexible, allowing many options for locating and manipulating elements within a browser, and one of its key features is the support for automating multiple browser platforms. This package contains the .NET bindings for the newer, more concise and object-based Selenium WebDriver API, which uses native OS-level events to manipulate the browser, bypassing the JavaScript sandbox, and does not require the Selenium Server to automate the browser.",Selenium.WebDriver,False,2018-04-12T15:56:43.4+00:00,True,.NET bindings for the Selenium WebDriver API,"Selenium,WebDriver,browser,automation",5202813,False,2.21.0
Microsoft,2012-04-12T22:25:39.453Z,"The Microsoft Enterprise Library is a set of reusable application blocks that help developers meet common enterprise software development challenges. The Microsoft Enterprise Library Integration Pack for Windows Azure is an extension to the Microsoft Enterprise Library 5.0 that can be used with Windows Azure. It includes the Autoscaling Application Block (""Wasabi""), the Transient Fault Handling Application Block (""Topaz""), a protected configuration provider and the Blob configuration source.",EnterpriseLibrary.Source.WindowsAzure,False,2012-12-18T15:36:09.247-08:00,True,"The Microsoft Enterprise Library Integration Pack for Windows Azure is an extension to the Microsoft Enterprise Library 5.0 that can be used with Windows Azure. It includes the Autoscaling Application Block (""Wasabi""), the Transient Fault Handling Application Block (""Topaz"") and the Blob configuration source.","entlib,enterprise,library,elazure,source,code,src,LOB,Windows,azure,autoscaling,auto-scaling,scaling,block,Wasabi,cloud,retry,retries,transient,fault,handling,failure,network,Topaz,async",7763,True,5.0.1118.2
Demis Bellot,2012-04-13T06:49:46.923Z,"Binaries for the ServiceStack web framework.
		Visit http://www.servicestack.net/ServiceStack.Hello/ 
		and https://github.com/ServiceStack/ServiceStack/wiki/Create-your-first-webservice 
		for walk throughs and docs on creating your first web service.",ServiceStack,False,2018-01-02T14:40:21.217+00:00,True,Opensource .NET and Mono REST Web Services framework,"Fast,JSON,XML,CSV,HTML,SOAP,JSV,REST,Web,Service,Framework,MONO",992288,False,3.6.9
"XAct Software Solutions,Inc.",2012-04-11T10:53:43.477Z,An XActLib Assembly: an Assembly that provides a Log4NetTraceListener (rerouting XAct.Diagnostics.Trace calls to Log4Net -- nice!) as well as Log4Net specific implementation of the Tracing service defined in XAct.Core.,XAct.Diagnostics.Log4Net,False,2017-02-08T17:57:07.633-08:00,True,,"XAct,XActLib",90650,False,0.0.309
"Ryan Whitmire,Josh Ball",2012-04-13T14:10:03.173Z,This is a ModelBinder designed to painlessly consume an http request and build a json serializable object for the Kendo UI Grid datasource.,KendoGridBinder,False,2018-03-06T21:10:12.06+00:00,True,,"Kendo,Grid,Model,Binder,ModelBinder,MVC",13173,False,1.4.0
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T05:43:21.5Z,Azure support for NServicebus,NServiceBus.Azure-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2170
Yandex,2012-04-11T14:06:09.947Z,Yandex Maps control,Yandex.Maps,False,2012-12-07T02:23:10.963-08:00,True,,"windowsphone,wp7,wp7dev,phone,controls,mango,mapkit,yandex,maps",10925,False,1.0.4484.906
Matthew Schrager,2012-04-12T14:21:58.853Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.3
"XAct Software Solutions,Inc.",2012-04-11T09:27:44.967Z,An XActLib Assembly: a library to work with the essentials of DotNetZip.,XAct.IO.Compression.DotNetZip,False,2017-02-09T01:57:22.29+00:00,True,,"XAct,XActLib",90886,False,0.0.304
Jmaxxz,2012-04-11T02:40:18.68Z,Makes developing command line tools easier in windows. (.Net) by adding a nice API for parsing command line options.,Jmaxxz.Console.Options,False,2012-04-12T17:04:40.243-07:00,True,"DO WHAT EVER YOU WANT TO PUBLIC LICENSE

Everyone is permitted to copy and distribute verbatim changing it is allowed as long
as the name is changed.",,1795,False,1.0.1
UTFPR,2012-04-11T18:28:19.557Z,The core assembly in wich UtfprLibrary builds upon.,UtfprLibrary.Core,True,2013-01-25T08:18:48.343-08:00,True,,UTFPR,40338,False,1.0.148-alpha
UTFPR,2012-04-12T21:01:02.837Z,The core assembly in wich UtfprLibrary builds upon.,UtfprLibrary.Core,True,2013-01-25T08:18:48.343-08:00,True,,UTFPR,40338,False,1.0.151-alpha
Matthew Schrager,2012-04-12T13:55:32.777Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.2
"CityIndex Ltd,Sky Sanders,David Laing",2012-04-11T18:22:34.297Z,.NET client library for CityIndex Trading API,CIAPI,True,2013-11-06T02:04:00.687-08:00,True,,,39839,False,5.0.0-bleeding-358
GeertvanHorrik,2012-04-13T17:35:10.247Z,Compass service for Catel to use the compass as a service in MVVM. Also contains a unit test version to simulate the compass.,Catel.MVVM.WP7.Services.Compass,True,1899-12-31T16:00:00-08:00,False,,"mvvm,catel,compass,services,wp7",-1,False,3.0.1204131919-beta
James Newton-King,2012-04-13T14:02:56.883Z,Json.NET is a popular high-performance JSON framework for .NET,Newtonsoft.Json,False,2018-03-24T20:18:14.76+00:00,True,,json,114881065,True,4.5.3
Daniel Crenna and Jason Diller,2012-04-13T01:17:27.287Z,"TweetSharp v2 is a fast, clean wrapper around the Twitter API. It uses T4 templates to make adding new endpoints easy. It can also be used as an example of how to write a service-specific API wrapper using Hammock.",TweetSharp,False,2013-06-22T12:42:14.643-07:00,True,"TweetSharp v2 is a fast, clean wrapper around the Twitter API. It uses T4 templates to make adding new endpoints easy.","twitter,tweetsharp,web,api,http,rest,wrapper,json,xml,wp7,mango",213669,False,2.1.4
