Facebook: ['Facebook.channel', 'Facebook.Helper', 'DotNetOpenAuth.AspNet', 'MahApps.Metro', 'FaceSharp']
ServiceStack.Redis: ['ServiceStack.Common', 'BookSleeve', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'ServiceStack']
Microsoft.SqlServer.Types: ['ServiceStack.OrmLite.SqlServer', 'Microsoft.Web.Administration', 'Mono.Cecil', 'HashFoo.SqlServer.SpatialTypes', 'WindowsAzure.ServiceBus']
NServiceBus: ['NServiceBus.Host', 'NServiceBus.NHibernate', 'NServiceBus.Testing', 'NServiceBus.Autofac', 'NServiceBus.StructureMap']
TransientFaultHandling.Core: ['EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'EnterpriseLibrary.Source.WindowsAzure', 'Nito.AsyncEx', 'jQuery', 'ReactiveProperty']
ClosedXML: ['ExcelDataReader', 'Aspose.Cells', 'Excel-DNA', 'HtmlAgilityPack', 'DoddleReport.OpenXml']
Microsoft.Web.Administration: ['Microsoft.SqlServer.Types', 'WindowsAzure.ServiceBus', 'Microsoft.Web.Infrastructure', 'Microsoft.Web.Services3', 'WebGridMvc']
LinqKit: ['CommandLineParser', 'Lucene.Net', 'Remotion.Linq', 'jQuery.MaskedInput', 'NHibernate.Linq']
elmah.sqlserver: ['elmah.corelibrary', 'Microsoft.SqlServer.Types', 'elmah.sqlservercompact', 'ServiceStack.Logging.Elmah', 'Elmah.MVC']
RavenDB.Client: ['Rebus.RavenDb', 'Glimpse.RavenDb', 'Raven.AspNet.SessionState', 'MiniProfiler.RavenDb', 'ServiceStack.Redis']
morelinq: ['SSH.NET', 'FsCheck', 'linq.js', 'AutoMapper', 'Glimpse']
EnterpriseLibrary.Logging: ['Ninject.Extensions.Logging', 'Common.Logging', 'Ninject.Extensions.Logging.Log4net', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net']
NPOI: ['Aspose.Slides.NET', 'ExcelLibrary', 'Aspose.Words', 'Aspose.Cells', 'Microsoft.Web.Administration']
Extended.Wpf.Toolkit: ['MvvmLightLibs', 'MvvmLight', 'Cimbalino.Phone.Toolkit', 'Westwind.Web', 'Cimbalino.Phone.Toolkit.Camera']
Nito.AsyncEx: ['AsyncUnitTests-MSTest', 'BookSleeve', 'ReactiveProperty', 'TransientFaultHandling.Core', 'Nito.KitchenSink.CRC']
Chutzpah: ['TeamCity.ServiceMessages', 'QUnit-MVC', 'NSubstitute', 'RequestReduce', 'NUnit']
jquery.mobile: ['jQuery.UI.Combined', 'jQuery', 'jQuery.Validation', 'jQuery.UI.i18n', 'jQuery.MaskedInput']
ImageResizer: ['ImageResizer.Plugins.DiskCache', 'ImageResizer.WebConfig', 'ImageResizer.Plugins.PrettyGifs', 'ImageResizer.Plugins.RemoteReader', 'ImageResizer.Mvc']
ExcelDataReader: ['Microsoft.Web.Administration', 'Aspose.Cells', 'Microsoft.SqlServer.Types', 'WindowsAzure.ServiceBus', 'ClosedXML']
microsoft-web-helpers: ['Microsoft.Web.Administration', 'AuthorizeNet', 'MassTransit.TestFramework', 'Microsoft.Web.Infrastructure', 'EQATEC.Analytics.Monitor']
ServiceStack: ['ServiceStack.Common', 'ServiceStack.Text', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'ServiceStack.Logging.Elmah']
xunit.extensions: ['FsUnit.xUnit', 'AutoFixture.Xunit', 'xunit', 'SharpTestsEx', 'xunit.runners']
EntityFramework.Extended: ['EntityFramework.SqlServerCompact', 'Isg.EntityFramework.Interceptors.SoftDelete', 'UtfprLibrary.EntityFramework', 'RIAServices.EntityFramework', 'WebBackgrounder.EntityFramework']
Mono.Cecil: ['Microsoft.SqlServer.Types', 'Mono.Reflection', 'devtm.Cecil', 'Noemax.Compression', 'IKVM']
Knockout.Mapping: ['Knockout.js_External_Template_Engine', 'AutoMapper', 'NHibernate.Mapping.Attributes', 'valueinjecter', 'UnderscoreKO']
PDFsharp: ['PDFsharp-MigraDoc-GDI', 'Aspose.Pdf', 'Rotativa', 'DynamicImage.Extensions.Pdf', 'ABCpdf']
Twitter.Bootstrap.Less: ['Twitter.Bootstrap', 'MahApps.Twitter.Bootstrap', 'BootstrapTwitter', 'TwitterBootstrap', 'Aperea.Bootstrap']
EntityFramework.SqlServerCompact: ['elmah.sqlservercompact', 'SqlServerCompact', 'Isg.EntityFramework.Interceptors.SoftDelete', 'ErikEJ.SqlCeMembership', 'RIAServices.EntityFramework']
RouteMagic: ['routedebugger', 'Microsoft.Web.Administration', 'RouteMagic.Mvc', 'ServiceStack', 'Stripe.net']
