Glimpse: ['OctoPack', 'NuGet.Core', 'NuGet.Server', 'Glimpse.Mvc3', 'Antlr.Unofficial']
ncrontab: ['Microsoft.Web.Infrastructure', 'LinqBridge', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions']
Ninject.MVC3: ['Ninject.Web.WebApi', 'Ninject.Extensions.Logging', 'Ninject.Extensions.NamedScope', 'Ninject', 'Ninject.Extensions.Conventions']
TaskScheduler: ['TaskSchedulerEditor', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions']
Nancy: ['Nancy.Hosting.Self', 'Nancy.Testing', 'Nancy.Authentication.Forms', 'Nancy.Viewengines.Razor', 'Nancy.Authentication.Basic']
Elmah.MVC: ['elmah', 'elmah.corelibrary', 'elmah.oracle', 'Glimpse.Elmah', 'elmah.sqlserver']
FAKE: ['Storyteller', 'RestfulRouting', 'RhinoDSL', 'AutoFixture.Xunit', 'SpecExpress']
Shouldly: ['Should', 'ShouldFluent', 'NSubstitute', 'ExpectedObjects', 'Machine.Specifications']
MahApps.Metro: ['TestStack.Seleno', 'Windows.UI.Interactivity', 'AForge.Controls', 'jQuery.UI.Combined', 'MahApps.Metro.Resources']
toastr: ['Rejuicer', 'Sammy.js', 'Less.js', 'NodeAssets.Core', 'Backbone.js']
Ninject.Web.WebApi: ['Ninject.MVC3', 'Ninject.Extensions.Logging', 'Ninject.Extensions.NamedScope', 'Ninject', 'Ninject.Extensions.Conventions']
PostSharp: ['SNAP', 'SNAP.CastleWindsor', 'Spring.Aop', 'Unity.Interception', 'Ninject.Extensions.Interception.Linfu']
Microsoft.SqlServer.Types: ['Microsoft.SqlServer.Compact', 'HashFoo.SqlServer.SpatialTypes', 'Simple.Data.SqlServer', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx']
AntiXSS: ['Microsoft.AspNet.WebApi.Client', 'Microsoft.Web.Services3', 'Microsoft.Web.Infrastructure', 'PreMailer.Net', 'JSAndCSSBundling']
ServiceStack.Redis: ['BookSleeve', 'Sider', 'Harbour.RedisSessionStateStore', 'ServiceStack.Caching.Azure', 'ServiceStack.Caching.Memcached']
T4MVC: ['T4MvcJs', 'Correspondence.Model', 'MicrosoftWebMvc', 'Mvc.Jsonp', 'AspNetWebPagesCore']
ClosedXML: ['DoddleReport.OpenXml', 'Code2Xml', 'Simple.Data.Mocking', 'YAXLib', 'Ninject.Web.Common.Xml']
TransientFaultHandling.Core: ['EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'smarx.WazStorageExtensions', 'NHelpfulException', 'FluentMigrator', 'dbup']
Facebook: ['Facebook.channel', 'Facebook.Helper', 'eBay', 'AppBarUtils', 'DotNetOpenAuth.AspNet']
NServiceBus: ['NServiceBus.Testing', 'NServiceBus.Host', 'NServiceBus.Host32', 'NServiceBus.Interfaces', 'NServiceBus.CastleWindsor']
Extended.Wpf.Toolkit: ['WPFToolkit', 'Blend.Interactivity.Wpf', 'WPFExtensions', 'PropertyTools.Wpf', 'Hardcodet.Wpf.TaskbarNotification']
morelinq: ['Remotion.Linq', 'LinqSpecs', 'SubSonic', 'DynamicLINQ', 'linq.js']
RavenDB.Client: ['RavenDB.AspNetHost', 'RavenDB.Database', 'RavenDB.Embedded', 'RavenDB.Server', 'RavenDB.Bundles.IndexReplication']
Microsoft.SqlServer.Compact: ['Microsoft.SqlServer.Types', 'Simple.Data.SqlServer', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.AspNet.Providers.Core']
Nito.AsyncEx: ['AsyncUnitTests-MSTest', 'AsyncCTP', 'AsyncBridge', 'FSharpx.Async', 'AsyncBridge.Net35']
Mono.Cecil: ['Mono.Reflection', 'IKVM', 'Fielder.Fody', 'Caseless.Fody', 'ExtraConstraints.Fody']
LinqKit: ['SQLinq', 'Remotion.Linq', 'FluentMigrator', 'dbup', 'FluentMigrator.Tools']
