ReportGenerator: ['OpenCover', 'Code2Xml', 'YAXLib', 'ClosedXML', 'Simple.Data.Mocking']
MiniProfiler: ['MiniProfiler.EF', 'MiniProfiler.MVC3', 'Glimpse.MiniProfiler', 'MiniProfiler.RavenDb', 'ServiceStack.Mvc']
Npgsql: ['Xtensive.Orm.PostgreSql', 'dotConnect.Express.for.PostgreSQL', 'ServiceStack.OrmLite.PostgreSQL', 'elmah.postgresql', 'NPoco']
Quartz: ['NCron', 'Quartz.Windsor', 'Nancy', 'Topshelf', 'Newtonsoft.Json']
NEST: ['PlainElastic.Net', 'Lucene.Net.Store.Azure', 'Lucene.Net', 'Lucene.Net.Linq', 'Lucene.Net.Contrib']
AWSSDK: ['parse', 'ImageResizer', 'ImageResizer.Samples.Jcrop', 'ImageResizer.WebConfig', 'ImageResizer.MvcWebConfig']
NUnit.Runners: ['NUnit', 'NUnit.Runners.lite', 'NUnit.Mocks', 'Spring.Testing.NUnit', 'NUnit.Extensions']
Microsoft.AspNet.Providers.LocalDb: ['Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers', 'Microsoft.AspNet.Providers.SqlCE', 'System.Web.Providers', 'System.Web.Providers.Core']
MongoDB.Driver: ['Rebus.MongoDb', 'mongocsharpdriver', 'MongoRepository', 'MongoDB.Web', 'log4mongo-net']
NLog.Schema: ['Topshelf.NLog', 'Common.Logging.NLog20', 'Castle.Core-NLog', 'NLog.Extended', 'NLog']
angularjs: ['FormFactory', 'NReadability', 'PreMailer.Net', 'ActionMailer.Standalone', 'Codaxy.WkHtmlToPdf']
DotNetZip: ['DotNetZip.Reduced', 'SharpGIS.GZipWebClient', 'sharpcompress', 'zlib.net', 'epubReader']
Microsoft.Composition: ['ExcelDataReader', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions', 'ExchangeWebServices']
SimpleInjector: ['SimpleInjector.Integration.Web', 'SimpleInjector.Packaging', 'SimpleInjector.Extensions.LifetimeScoping', 'SimpleInjector.MVC3', 'LightInject']
protobuf-net: ['protobuf-net-data', 'ServiceStack.Plugins.ProtoBuf', 'Google.ProtocolBuffersLite', 'Nancy.Serialization.ProtoBuf', 'Google.ProtocolBuffers']
EnterpriseLibrary.Common: ['EnterpriseLibrary.Caching', 'EnterpriseLibrary.Data', 'EnterpriseLibrary.Validation', 'EnterpriseLibrary.Logging', 'EnterpriseLibrary.Logging.Database']
NLog.Config: ['Less', 'Web.Optimization', 'ConfigReader', 'NhCodeFirst', 'NLog.Schema']
NodaTime: ['NodaTime.Testing', 'DateTimeExtensions', 'FluentDateTime', 'Enumeration', 'nDumbster']
Unity.Interception: ['Unity', 'Spring.Aop', 'PostSharp', 'SNAP', 'EnterpriseLibrary.PolicyInjection']
JetBrains.Annotations: ['adjunct-JetBrains.Annotations.Core', 'YouTrackSharp', 'Nancy.Validation.DataAnnotations', 'Fleck', 'IronPython.StdLib']
Topshelf: ['Topshelf.Log4Net', 'Topshelf.NLog', 'MassTransit', 'MassTransit.RabbitMQ', 'MassTransit.Log4Net']
AjaxControlToolkit: ['jQuery.Ajax.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Ajax', 'MvcHaack.Ajax', 'ScriptSharp', 'jQuery.UI.Widgets.Autocomplete']
Lucene.Net: ['Lucene.Net.Store.Azure', 'Lucene.Net.Contrib', 'Lucene.Net.Linq', 'NEST', 'Higgs']
PagedList: ['PagedList.Mvc', 'PagedListExt', 'Unity.Extensions.Lazy', 'TestStack.Seleno', 'MahApps.Metro']
Twilio: ['Hyprlinkr', 'FactualDriver', 'CIAPI', 'ShortBus', 'ShortBus.Markers']
System.Linq.Dynamic: ['LinqBridge', 'Microsoft.Linq.Translations', 'Remotion.Linq', 'LinqSpecs', 'DynamicLINQ']
Twitter.Bootstrap: ['Twitter.Bootstrap.Less', 'BootstrapTwitter', 'bootstrap', 'Bootstrap-Table', 'PreMailer.Net']
ServiceStack.Common: ['ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'ServiceStack.Logging.Elmah', 'WebApiContrib.Formatting.ServiceStack', 'ServiceStack.Logging.EventLog']
FSharp.Core: ['AuthorizeNet', 'MathNet.Numerics.FSharp', 'Unity.Mvc3.DLL', 'dropkick', 'CodeFirstStoredProcs']
dotless: ['DotlessClientOnly', 'BundleTransformer.Less', 'AuthorizeNet', 'Unity.Mvc3.DLL', 'Twitter.Bootstrap.Less']
FluentNHibernate: ['NHibernate', 'gribble.nhibernate', 'NHibernate.Caches.SysCache', 'NHibernate.Mapping.Attributes', 'Spring.Data.NHibernate32']
FakeItEasy: ['Hyprlinkr', 'FactualDriver', 'CIAPI', 'ShortBus', 'ShortBus.Markers']
mongocsharpdriver: ['MongoRepository', 'MongoDB.Web', 'Rebus.MongoDb', 'MongoDB.Driver', 'DCouple.Mongo']
System.Data.SQLite: ['System.Data.SQLite.x86', 'System.Data.SQLite.x64', 'System.Data.SQLite.MSIL', 'dotConnect.Express.for.SQLite', 'Simple.Data.Sqlite']
PagedList.Mvc: ['PagedList', 'PagedListExt', 'MvcPaging', 'MicrosoftWebMvc', 'Mvc.Jsonp']
